               AR1sum    AR2sum    AR1max    AR2max    AR1xCe    AR2xCe    AR1yCe    AR2yCe
Sample_0     0.505257  0.382710  0.564091  0.190953 -0.012152 -0.016339  0.115229  0.062525
Sample_1     0.787843  0.146806  0.428815  0.500790 -0.009556 -0.006711  0.056830  0.042507
Sample_2     0.420244  0.435797  0.429674  0.027092 -0.006529 -0.045766  0.030922  0.071842
Sample_3     0.633492  0.151932  0.423277  0.143773  0.022092 -0.018118  0.044027  0.007977
Sample_4     0.310001  0.486695  0.436553  0.284237  0.031745 -0.004908  0.010704  0.011912
Sample_5     0.583277  0.107652  0.140787  0.307835 -0.051293 -0.029392  0.142592  0.027829
Sample_6     0.870126  0.005994  0.290406  0.037427 -0.009742 -0.010216  0.048454 -0.028856
Sample_7     0.533517  0.323654  0.158128  0.124214 -0.004389 -0.045018  0.020727  0.103209
Sample_8     0.846269 -0.032134  0.118990  0.231997  0.035803 -0.024303  0.117504  0.025624
Sample_9     0.582218  0.303616  0.140402  0.251764 -0.006596 -0.054369  0.020723  0.087957
Sample_10    0.683935 -0.037773  0.195289  0.247718  0.000465 -0.035898 -0.003685  0.027317
Sample_11    0.930362  0.031117  0.225213  0.330066 -0.022487 -0.027769  0.245529 -0.067846
Sample_12    0.584420  0.276359  0.263745  0.448301 -0.013447  0.004675  0.060622  0.063829
Sample_13    0.411050  0.461639  0.091311  0.212120 -0.024786 -0.011572  0.065126  0.028804
Sample_14    0.625602 -0.044199  0.487507  0.149830  0.014583 -0.019646  0.061843  0.143507
Sample_15    0.708986  0.156197  0.387496  0.258621 -0.029508  0.009991 -0.003202 -0.035433
Sample_16    0.699860  0.198102  0.449460  0.151517 -0.013905 -0.014857  0.097065  0.063083
Sample_17    0.746460  0.061807  0.147428 -0.097184  0.087835 -0.010197  0.021448 -0.012053
Sample_18    0.509983  0.317727  0.004270  0.052528 -0.011575 -0.009315  0.077281  0.012590
Sample_19    0.517075  0.344215  0.192677  0.137113 -0.025010  0.002949  0.087753 -0.002933
Sample_20    0.537060  0.363195  0.172760  0.054567 -0.015389 -0.007944  0.181362 -0.056193
Sample_21    0.825843 -0.036125  0.292312  0.008272 -0.016873 -0.027651  0.090181  0.069126
Sample_22    0.682491  0.191264  0.478815  0.054638 -0.071885 -0.042224  0.219442 -0.025508
Sample_23    0.641680  0.194085  0.046885  0.470154 -0.022762 -0.028483  0.043037  0.061075
Sample_24    0.802512 -0.098800  0.252771  0.221344  0.000253 -0.062952  0.004292  0.121444
Sample_25    0.577889  0.386076  0.409450 -0.209261 -0.017520 -0.010231  0.167892  0.017959
Sample_26    0.412161  0.469959  0.728114 -0.122472  0.004989 -0.033217  0.100330  0.207121
Sample_27    0.674665  0.218967  0.298065  0.145175  0.002769 -0.041923 -0.005267  0.127494
Sample_28    0.431391  0.498972  0.142261  0.458152  0.004007  0.001584  0.166287  0.146751
Sample_29    0.718481  0.141565  0.958547 -0.237110 -0.091596 -0.029522  0.208367 -0.059417
Sample_30    0.803589  0.030031  0.266488 -0.008244 -0.026338 -0.033466  0.129510  0.119807
Sample_31    0.781764  0.105732  0.631418  0.124340 -0.023287 -0.043592  0.164299  0.019446
Sample_32    0.432247  0.335893  0.316034  0.365540 -0.001302 -0.026224  0.146472 -0.003353
Sample_33    0.821555 -0.055116  0.328696  0.004869 -0.027934 -0.027381  0.140040  0.003223
Sample_34    0.523910  0.360002  0.628802 -0.093283 -0.001923 -0.010273  0.147523  0.085468
Sample_35    0.441423  0.305996 -0.399079  0.006529 -0.007415 -0.057399 -0.019871  0.155721
Sample_36    0.275304  0.476915 -0.016379  0.152128 -0.014747  0.002901  0.018555  0.014315
Sample_37    0.511880  0.410062  0.452550  0.213085 -0.033482 -0.034527  0.005071  0.000404
Sample_38    0.499473  0.409132  0.373670  0.152229 -0.000693 -0.008672  0.039330  0.137808
Sample_39    0.750546  0.100256  0.442101  0.237587 -0.018085 -0.089125  0.062387  0.174305
Sample_40    0.328710  0.534852  0.190042  0.424310 -0.046911 -0.009753  0.078796  0.188637
Sample_41    0.509199  0.329770  0.210332 -0.088056 -0.014250 -0.026071  0.154077 -0.036212
Sample_42    0.464736  0.357451  0.160572  0.112490 -0.002293 -0.014000  0.053515  0.052310
Sample_43    0.355342  0.357281  0.236646  0.092724 -0.026646 -0.036141  0.090348  0.052432
Sample_44    0.575715  0.164325  0.395442 -0.200422 -0.010989 -0.066344  0.169965  0.223602
Sample_45    0.566520  0.075232  0.175200  0.265257 -0.025181 -0.034134  0.076045  0.063498
Sample_46    0.488334  0.248831  0.432252  0.238270 -0.044160 -0.054479 -0.011987  0.093865
Sample_47    0.565224  0.171919  0.549123 -0.011740 -0.020595 -0.026602  0.053090  0.141114
Sample_48    0.896639 -0.103005  0.641541  0.139466  0.010822 -0.049724  0.139644  0.075475
Sample_49    1.433902 -0.518399  0.736918 -0.209687  0.034563 -0.064430  0.154334  0.126664
Sample_50    0.541202  0.277424  0.376824  0.134277 -0.007349  0.005601  0.031285  0.016437
Sample_51    0.937377 -0.056701  0.474564  0.074112 -0.039867 -0.028435  0.157554 -0.043909
Sample_52    0.827833  0.002590  0.569233  0.077745  0.022767  0.010273  0.110596  0.035411
Sample_53    0.491905  0.177659  0.173101  0.293316  0.000898  0.018132  0.193884  0.040185
Sample_54    0.563693  0.225966  0.363879  0.295023  0.015201 -0.038375  0.161921  0.064993
Sample_55    0.664869  0.096780  0.572105 -0.106020  0.031166 -0.005027  0.081418  0.013407
Sample_56    0.649842  0.169474  0.287646  0.037080  0.001305 -0.027303  0.137180  0.108633
Sample_57    0.625479  0.112379  0.742335 -0.200038 -0.052027 -0.019831  0.053798  0.023294
Sample_58    0.961239 -0.181752  0.424573 -0.036556  0.025223 -0.057164  0.013464  0.033397
Sample_59    0.570065  0.162932  0.753035 -0.102957 -0.012891 -0.024125  0.030539  0.109198
Sample_60    0.552642  0.224023 -0.255043  0.006891  0.034252 -0.027439  0.033204  0.039448
Sample_61    1.015431 -0.197728  0.340929  0.166358 -0.017812 -0.028091  0.121706  0.038252
Sample_62    0.768533  0.034170  0.802885 -0.070964 -0.021164 -0.041443  0.208368  0.018578
Sample_63    0.689347  0.025431  0.308805  0.069548  0.043830 -0.047550  0.110864  0.057705
Sample_64    0.895834 -0.068908  0.157213  0.020293 -0.011351 -0.001867  0.045840  0.089512
Sample_65    0.541406  0.244876  0.074793  0.137876  0.023210 -0.014700  0.191789  0.033788
Sample_66    0.434571  0.304687  0.281299  0.011378  0.032096 -0.084923  0.093999  0.023507
Sample_67    0.795752  0.052361  0.777137 -0.078253 -0.003796 -0.019992  0.166707  0.084847
Sample_68    0.637447  0.173477  0.517082  0.144414  0.083273 -0.020732  0.055390  0.030042
Sample_69    0.356526  0.491912  0.220271  0.442824 -0.028044 -0.027287  0.217784  0.015377
Sample_70    0.595412  0.158796  0.616241  0.088668 -0.030359 -0.017298  0.068119  0.123788
Sample_71    0.836941 -0.029159  0.369331  0.299735  0.023077 -0.059982  0.069184  0.177082
Sample_72    0.948252 -0.191751  0.698414 -0.278393  0.020503 -0.011074  0.001936  0.039815
Sample_73    0.664080  0.084643  0.061881  0.441448 -0.000275  0.013156  0.025859  0.107520
Sample_74    0.516581  0.337574  0.156605  0.197145 -0.027844 -0.024342  0.067863  0.073011
Sample_75    0.576637  0.180183  0.233759  0.188178 -0.037666 -0.009654  0.089578  0.054040
Sample_76    0.587820  0.038851  0.164259  0.290661 -0.000572  0.025889 -0.033407  0.085808
Sample_77    0.565713  0.197490  0.333354  0.136731 -0.020890 -0.004461  0.104470  0.069144
Sample_78    0.501339  0.226255  0.278604  0.388886  0.010769 -0.029998  0.057252  0.022165
Sample_79    0.873333 -0.054723  0.524139  0.029593  0.020236 -0.011302  0.043809  0.013596
Sample_80    0.592347  0.129198  0.547366 -0.134397  0.000811  0.017201  0.117226  0.127605
Sample_81    0.654405  0.220276  0.373496  0.082531 -0.056243  0.000518  0.040794  0.079745
Sample_82    0.683455  0.046716  0.282843  0.227984 -0.011915 -0.017274  0.017112  0.190273
Sample_83    0.631905  0.191393  0.540122  0.103934 -0.041724 -0.005688  0.177512  0.060302
Sample_84    0.570029  0.215435  0.125675  0.426599 -0.012899 -0.054442  0.039196  0.255140
Sample_85    0.763942  0.069263  0.259691  0.108955  0.015764 -0.036546  0.076549  0.081725
Sample_86    0.669323  0.126513  0.330926  0.075839  0.000714  0.004081  0.169952 -0.027747
Sample_87    0.773515  0.104602  0.457843 -0.025193 -0.022799 -0.037205  0.073073  0.145971
