             0_Absolute energy  0_Area under the curve  0_Autocorrelation  0_Centroid  0_Entropy  0_Mean absolute diff  0_Mean diff  0_Median absolute diff  0_Median diff  0_Negative turning points  0_Neighbourhood peaks  0_Peak to peak distance  0_Positive turning points  0_Signal distance   0_Slope  0_Sum absolute diff  0_Total energy  0_Zero crossing rate
Sample_0             2914416.0                 120.245          2914416.0    0.328538   0.656863              7.157303    -1.606742                     3.0            0.0                        2.0                    1.0                    330.0                        3.0         680.884832 -2.899601                637.0    3.274625e+06                   1.0
Sample_1             2922288.0                 108.290          2922288.0    0.139350   0.679134              9.415730    -1.505618                     1.0            0.0                        3.0                    0.0                    414.0                        2.0         882.961272 -4.329901                838.0    3.283470e+06                   1.0
Sample_2              657752.0                  60.675           657752.0    0.292927   0.681718              3.584270    -1.134831                     1.0            0.0                        4.0                    1.0                    147.0                        5.0         365.299500 -1.562201                319.0    7.390472e+05                   1.0
Sample_3             1596785.0                  94.035          1596785.0    0.330114   0.711234              6.483146    -1.247191                     2.0            0.0                        2.0                    1.0                    257.0                        2.0         618.928988 -2.096481                577.0    1.794140e+06                   1.0
Sample_4             2681285.0                 121.635          2681285.0    0.327882   0.636487              5.606742    -1.516854                     1.0            0.0                        3.0                    1.0                    297.0                        4.0         549.562181 -2.795860                499.0    3.012680e+06                   1.0
Sample_5             2903633.0                 129.890          2903633.0    0.275242   0.722915              9.775281    -1.078652                     5.0            0.0                        7.0                    2.0                    284.0                        7.0         907.128923 -3.289369                870.0    3.262509e+06                   1.0
Sample_6             2313737.0                 112.600          2313737.0    0.270085   0.652999              6.921348    -2.000000                     1.0            0.0                        7.0                    2.0                    287.0                        6.0         661.742303 -3.205507                616.0    2.599704e+06                   1.0
Sample_7              711521.0                  62.860           711521.0    0.289240   0.670157              4.584270    -1.235955                     1.0            0.0                        3.0                    1.0                    154.0                        6.0         453.029455 -1.639453                408.0    7.994618e+05                   1.0
Sample_8             2637121.0                 115.780          2637121.0    0.301792   0.676141             12.314607    -1.640449                     2.0            0.0                        8.0                    1.0                    334.0                        9.0        1139.776196 -3.075598               1096.0    2.963057e+06                   1.0
Sample_9             1938992.0                  99.510          1938992.0    0.352861   0.693479              7.775281    -1.280899                     2.0            0.0                        4.0                    2.0                    307.0                        4.0         735.484301 -2.106137                692.0    2.178643e+06                   1.0
Sample_10            1380578.0                  87.630          1380578.0    0.305608   0.702257              5.752809    -1.325843                     2.0            0.0                        5.0                    2.0                    215.0                        6.0         554.908920 -2.160579                512.0    1.551211e+06                   1.0
Sample_11            1541609.0                  87.450          1541609.0    0.212064   0.644463              6.292135    -1.573034                     3.0            0.0                        3.0                    2.0                    230.0                        3.0         602.587334 -2.996345                560.0    1.732145e+06                   1.0
Sample_12             607068.0                  59.255           607068.0    0.276965   0.671853              3.786517    -0.685393                     1.0            0.0                        6.0                    1.0                    127.0                        5.0         381.148578 -1.530181                337.0    6.820989e+05                   1.0
Sample_13            1642780.0                  95.830          1642780.0    0.329306   0.682275              6.224719    -1.550562                     2.0            0.0                        6.0                    1.0                    264.0                        7.0         596.901033 -2.142964                554.0    1.845820e+06                   1.0
Sample_14            2422818.0                 109.080          2422818.0    0.317699   0.662417              9.393258    -1.528090                     2.0            0.0                        3.0                    1.0                    388.0                        3.0         879.724942 -2.826653                836.0    2.722267e+06                   1.0
Sample_15            2556108.0                 118.025          2556108.0    0.287054   0.703549              7.808989    -1.651685                     3.0            0.0                        6.0                    1.0                    281.0                        8.0         735.426158 -3.173956                695.0    2.872031e+06                   1.0
Sample_16            5136558.0                 166.330          5136558.0    0.245648   0.664923             10.314607    -1.415730                     1.0            0.0                        3.0                    1.0                    364.0                        3.0         964.669419 -5.001704                918.0    5.771413e+06                   1.0
Sample_17            1996826.0                 102.425          1996826.0    0.211519   0.681918              7.224719    -2.640449                     3.0            0.0                        4.0                    1.0                    278.0                        8.0         684.592247 -3.389867                643.0    2.243625e+06                   1.0
Sample_18           10999879.0                 235.335         10999879.0    0.279169   0.449444             12.146067    -1.022472                     0.0            0.0                        2.0                    0.0                    500.0                        2.0        1147.192394 -6.341927               1081.0    1.235941e+07                   1.0
Sample_19            2043214.0                 102.025          2043214.0    0.215148   0.683878              9.471910    -1.786517                     4.0            0.0                        7.0                    0.0                    300.0                        7.0         883.665401 -3.297263                843.0    2.295746e+06                   1.0
Sample_20            4602670.0                 162.610          4602670.0    0.271447   0.689139             11.101124    -3.033708                     2.0            0.0                        6.0                    2.0                    394.0                        5.0        1031.162786 -4.314212                988.0    5.171539e+06                   1.0
Sample_21            3949681.0                 144.545          3949681.0    0.351523   0.687392             10.550562    -3.426966                     1.0            0.0                        3.0                    0.0                    409.0                        1.0         985.271054 -2.898243                939.0    4.437844e+06                   1.0
Sample_22            2755669.0                 121.095          2755669.0    0.236606   0.488555              8.595506    -1.561798                     0.0            0.0                        1.0                    0.0                    303.0                        1.0         832.086601 -3.642516                765.0    3.096257e+06                   1.0
Sample_23            2855181.0                 116.415          2855181.0    0.415753   0.699792             13.179775    -1.561798                     2.0            0.0                        4.0                    1.0                    421.0                        4.0        1217.836740 -1.625592               1173.0    3.208069e+06                   1.0
Sample_24            7391401.0                 206.155          7391401.0    0.299568   0.577539              7.044944    -2.146067                     0.0            0.0                        4.0                    0.0                    395.0                        3.0         686.394081 -5.013384                627.0    8.304945e+06                   1.0
Sample_25            3366616.0                 136.625          3366616.0    0.356768   0.660007             12.191011    -1.157303                     1.0            0.0                        7.0                    2.0                    492.0                        7.0        1135.085305 -2.769725               1085.0    3.782715e+06                   1.0
Sample_26            6007825.0                 178.330          6007825.0    0.392891   0.726338             10.696629    -2.157303                     3.0            0.0                        2.0                    0.0                    500.0                        2.0         994.058848 -2.874585                952.0    6.750365e+06                   1.0
Sample_27            5124163.0                 161.340          5124163.0    0.357898   0.612284             10.179775    -1.460674                     0.0            0.0                        4.0                    0.0                    500.0                        3.0         960.150562 -3.403770                906.0    5.757487e+06                   1.0
Sample_28            3185794.0                 134.225          3185794.0    0.290035   0.681283              9.921348    -1.202247                     1.0            0.0                        2.0                    1.0                    315.0                        3.0         929.108812 -3.392765                883.0    3.579544e+06                   1.0
Sample_29            2820205.0                 125.485          2820205.0    0.257223   0.622819              7.134831    -0.820225                     0.0            0.0                        4.0                    0.0                    264.0                        3.0         684.511200 -3.593094                635.0    3.168770e+06                   1.0
Sample_30           10667703.0                 239.685         10667703.0    0.293028   0.616426             15.314607    -1.269663                     1.0            0.0                        7.0                    0.0                    500.0                        5.0        1409.224717 -6.090982               1363.0    1.198618e+07                   1.0
Sample_31            4341767.0                 141.910          4341767.0    0.396764   0.596031             10.808989    -1.483146                     0.0            0.0                        2.0                    0.0                    489.0                        1.0        1017.055433 -2.471227                962.0    4.878390e+06                   1.0
Sample_32            4159950.0                 150.440          4159950.0    0.323702   0.686537             10.202247    -3.011236                     3.0            0.0                        5.0                    1.0                    442.0                        4.0         950.914165 -3.525242                908.0    4.674101e+06                   1.0
Sample_33            5494477.0                 185.830          5494477.0    0.306784   0.706183             14.853933    -0.449438                     3.0            0.0                       10.0                    2.0                    385.0                        9.0        1362.269512 -3.860271               1322.0    6.173570e+06                   1.0
Sample_34            5175810.0                 179.320          5175810.0    0.331747   0.705762             12.067416    -1.483146                     4.0            0.0                        8.0                    0.0                    391.0                        9.0        1111.600274 -3.602206               1074.0    5.815517e+06                   1.0
Sample_35            2006896.0                 107.620          2006896.0    0.341765   0.610212             16.471910    -1.483146                     0.0            0.0                        9.0                    0.0                    314.0                       11.0        1517.870412 -2.154142               1466.0    2.254939e+06                   1.0
Sample_36            1333388.0                  92.490          1333388.0    0.374661   0.727919              5.820225    -0.966292                     2.0            0.0                       10.0                    1.0                    190.0                        7.0         560.061910 -1.375939                518.0    1.498189e+06                   1.0
Sample_37            2909020.0                 131.385          2909020.0    0.263838   0.626317              5.112360    -1.921348                     0.0            0.0                        2.0                    1.0                    251.0                        2.0         510.345503 -3.533654                455.0    3.268562e+06                   1.0
Sample_38            4134595.0                 156.515          4134595.0    0.363802   0.673152              9.179775    -2.191011                     1.0            0.0                       10.0                    1.0                    364.0                        7.0         864.519862 -2.808092                817.0    4.645612e+06                   1.0
Sample_39            3498644.0                 145.795          3498644.0    0.338814   0.653851              8.325843    -1.494382                     2.0            0.0                        4.0                    2.0                    332.0                        4.0         787.947615 -2.895139                741.0    3.931061e+06                   1.0
Sample_40            2393822.0                 105.975          2393822.0    0.433067   0.677336              8.191011    -1.359551                     1.0            0.0                        5.0                    0.0                    382.0                        2.0         775.492189 -1.323028                729.0    2.689688e+06                   1.0
Sample_41            4614333.0                 167.200          4614333.0    0.380743   0.705094             11.505618    -2.044944                     1.0            0.0                        7.0                    2.0                    446.0                       10.0        1066.799535 -2.686974               1024.0    5.184644e+06                   1.0
Sample_42            5051108.0                 163.350          5051108.0    0.439741   0.705933             10.292135    -2.044944                     1.0            0.0                        0.0                    0.0                    500.0                        1.0         965.933633 -1.900070                916.0    5.675402e+06                   1.0
Sample_43            2608230.0                 125.450          2608230.0    0.470977   0.710635              7.752809    -0.516854                     1.0            0.0                        3.0                    1.0                    350.0                        2.0         736.860593 -0.597720                690.0    2.930596e+06                   1.0
Sample_44            1599785.0                  95.695          1599785.0    0.421854   0.728427              7.988764    -0.797753                     2.0            0.0                        8.0                    0.0                    304.0                        9.0         751.973265 -1.074478                711.0    1.797511e+06                   1.0
