             0_Absolute energy  0_Area under the curve  0_Autocorrelation  0_Centroid  0_Entropy  0_Mean absolute diff  0_Mean diff  0_Median absolute diff  0_Median diff  0_Negative turning points  0_Neighbourhood peaks  0_Peak to peak distance  0_Positive turning points  0_Signal distance   0_Slope  0_Sum absolute diff  0_Total energy  0_Zero crossing rate
Sample_0          48494.705215               16.316970       48494.705215    0.270386   0.693678              0.436129    -0.347713                0.022813       0.000000                        7.0                    1.0                31.405941                        8.0         120.179195 -0.467148            38.815505    54488.432826                   1.0
Sample_1          50847.309321               17.288864       50847.309321    0.287813   0.734356              0.477884    -0.353933                0.041695       0.000000                       10.0                    1.0                31.836957                       11.0         121.704396 -0.441113            42.531715    57131.808226                   1.0
Sample_2          54593.818530               17.925643       54593.818530    0.289630   0.744626              0.473552    -0.362822                0.039752       0.000000                        8.0                    2.0                32.294643                        8.0         122.285591 -0.454574            42.146162    61341.369135                   1.0
Sample_3          52841.460770               17.633747       52841.460770    0.283954   0.737780              0.465851    -0.348315                0.037113       0.000000                        8.0                    1.0                32.324675                       10.0         120.506359 -0.455267            41.460707    59372.427831                   1.0
Sample_4          49852.654471               16.985598       49852.654471    0.288447   0.723448              0.482227    -0.345455                0.056899       0.000000                       11.0                    1.0                31.822222                       13.0         121.506085 -0.439571            42.918205    56014.218507                   1.0
Sample_5          53312.999399               18.177880       53312.999399    0.303600   0.766576              0.507827    -0.301124                0.045340       0.000000                       14.0                    1.0                31.711538                       15.0         124.017993 -0.416323            45.196581    59902.246515                   1.0
Sample_6          52150.286992               17.371576       52150.286992    0.285325   0.733717              0.468794    -0.353331                0.044194       0.000000                        9.0                    1.0                32.454545                       10.0         122.958020 -0.454118            41.722677    58595.828081                   1.0
Sample_7          53506.544760               17.747408       53506.544760    0.290471   0.737780              0.465137    -0.358052                0.037212       0.000000                        8.0                    1.0                32.254717                       10.0         121.872089 -0.448726            41.397222    60119.713213                   1.0
Sample_8          49349.129280               16.588555       49349.129280    0.272565   0.704818              0.483740    -0.373119                0.036898       0.000000                        9.0                    2.0                33.207547                        7.0         122.552973 -0.465149            43.052886    55448.459865                   1.0
Sample_9          49531.249561               16.922035       49531.249561    0.288599   0.723448              0.487104    -0.354535                0.028968       0.000000                       10.0                    2.0                32.444444                       12.0         123.458465 -0.437803            43.352274    55653.089394                   1.0
Sample_10         53334.044985               17.718908       53334.044985    0.293490   0.734356              0.528910    -0.348315                0.041229       0.000000                       11.0                    2.0                33.863636                       11.0         126.733338 -0.443859            47.072987    59925.893242                   1.0
Sample_11         49545.996206               16.495993       49545.996206    0.269851   0.693678              0.464663    -0.342072                0.026018       0.000000                        9.0                    1.0                32.100000                        9.0         121.721394 -0.472937            41.355000    55669.658659                   1.0
Sample_12         53356.201610               18.011141       53356.201610    0.296515   0.762769              0.489993    -0.351124                0.047736       0.000000                       10.0                    1.0                32.123894                       11.0         122.428356 -0.431413            43.609364    59950.788326                   1.0
Sample_13         53076.582886               17.825524       53076.582886    0.296340   0.755452              0.461623    -0.354284                0.046865       0.000000                       14.0                    2.0                31.684211                       15.0         121.285023 -0.434612            41.084465    59636.609984                   1.0
Sample_14         45431.037970               15.786039       45431.037970    0.268053   0.690255              0.448455    -0.345506                0.027743       0.000000                        9.0                    1.0                31.640449                       10.0         120.088783 -0.455036            39.912475    51046.110079                   1.0
Sample_15         52417.270251               17.574794       52417.270251    0.297278   0.737780              0.511007    -0.328340                0.047925       0.000000                        7.0                    2.0                32.300000                        9.0         124.495899 -0.434425            45.479595    58895.809271                   1.0
Sample_16         47868.692617               16.504919       47868.692617    0.281540   0.719306              0.493338    -0.329732                0.043514       0.000000                        9.0                    1.0                31.284091                       10.0         122.854363 -0.443403            43.907073    53785.047884                   1.0
Sample_17         48124.837226               16.666611       48124.837226    0.276199   0.723448              0.416177    -0.362594                0.041603       0.000000                        9.0                    1.0                32.270833                        8.0         116.910593 -0.448078            37.039774    54072.850816                   1.0
Sample_18         52748.326213               17.618152       52748.326213    0.293808   0.741203              0.486491    -0.350187                0.035503       0.000000                        9.0                    1.0                32.727273                       10.0         123.777174 -0.440847            43.297717    59267.782262                   1.0
Sample_19         47840.254306               16.632007       47840.254306    0.286542   0.733717              0.469388    -0.341164                0.053218       0.000000                        8.0                    1.0                31.070588                        9.0         121.172329 -0.432936            41.775508    53753.094725                   1.0
Sample_20         53326.950930               17.993938       53326.950930    0.296415   0.752500              0.510227    -0.361423                0.055745       0.000000                        7.0                    1.0                32.937500                        8.0         124.185808 -0.431487            45.410187    59917.922394                   1.0
