             0_Absolute energy  0_Area under the curve  0_Autocorrelation  0_Centroid  0_Entropy  0_Mean absolute diff  0_Mean diff  0_Median absolute diff  0_Median diff  0_Negative turning points  0_Neighbourhood peaks  0_Peak to peak distance  0_Positive turning points  0_Signal distance   0_Slope  0_Sum absolute diff  0_Total energy  0_Zero crossing rate
Sample_0          79314.122976               19.488316       79314.122976    0.166745   0.693678              0.697369    -0.695225                0.194240      -0.194240                        1.0                    0.0                61.875000                        1.0         127.531579 -0.737712            62.065852    89116.992108                   1.0
Sample_1          85047.782277               20.972376       85047.782277    0.184173   0.734356              0.707865    -0.707865                0.354563      -0.354563                        0.0                    0.0                63.000000                        0.0         126.466053 -0.737450            63.000000    95559.305929                   1.0
Sample_2          96818.087666               22.338178       96818.087666    0.182963   0.744626              0.692220    -0.692220                0.374253      -0.374253                        0.0                    0.0                61.607595                        0.0         124.007534 -0.792697            61.607595   108784.368164                   1.0
Sample_3         104737.153262               23.225843      104737.153262    0.181558   0.744626              0.722846    -0.722846                0.349680      -0.349680                        0.0                    0.0                64.333333                        0.0         125.567128 -0.824724            64.333333   117682.194676                   1.0
Sample_4          80466.517655               20.342692       80466.517655    0.183863   0.723448              0.710395    -0.708887                0.200920      -0.200920                        2.0                    0.0                63.090909                        2.0         128.282775 -0.714841            63.225154    90411.817590                   1.0
Sample_5         117434.130836               25.578311      117434.130836    0.205653   0.766576              0.726163    -0.687640                0.258065      -0.224596                        4.0                    0.0                61.932203                        4.0         128.730700 -0.822275            64.628521   131948.461613                   1.0
Sample_6         100565.434986               22.797002      100565.434986    0.189609   0.733717              0.707579    -0.701244                0.298851      -0.298851                        1.0                    0.0                62.410714                        1.0         126.277540 -0.803402            62.974569   112994.870771                   1.0
Sample_7          88306.079638               21.387445       88306.079638    0.182946   0.741203              0.724977    -0.723596                0.326087      -0.326087                        1.0                    0.0                64.400000                        1.0         127.428783 -0.749246            64.522951    99220.314200                   1.0
Sample_8          81707.928787               20.104133       81707.928787    0.176452   0.704818              0.711165    -0.695357                0.209388      -0.205127                        3.0                    0.0                61.886792                        3.0         128.035385 -0.739262            63.293666    91806.661558                   1.0
Sample_9          87402.280591               21.203086       87402.280591    0.184608   0.723448              0.697632    -0.697632                0.314760      -0.314760                        0.0                    0.0                62.089286                        0.0         127.314243 -0.748466            62.089286    98204.809653                   1.0
Sample_10         84855.342544               21.045109       84855.342544    0.188221   0.734356              0.755533    -0.730337                0.206293      -0.180113                        3.0                    0.0                65.000000                        3.0         133.577429 -0.725245            67.242469    95343.081511                   1.0
Sample_11         98671.249102               22.107159       98671.249102    0.182797   0.693678              0.708970    -0.707865                0.231235      -0.231235                        0.0                    0.0                63.000000                        1.0         128.369745 -0.813314            63.098293   110866.572025                   1.0
Sample_12         94144.897374               22.533000       94144.897374    0.192681   0.766193              0.718255    -0.716292                0.225032      -0.225032                        2.0                    0.0                63.750000                        2.0         128.175742 -0.752521            63.924738   105780.783566                   1.0
Sample_13         91757.269984               21.969072       91757.269984    0.185216   0.755452              0.700316    -0.700316                0.222705      -0.222705                        0.0                    0.0                62.328125                        0.0         126.204896 -0.758079            62.328125   103098.056161                   1.0
Sample_14         89164.621477               21.035896       89164.621477    0.183927   0.690255              0.724033    -0.713483                0.215969      -0.203320                        0.0                    0.0                63.500000                        1.0         130.390376 -0.768625            64.438926   100184.967952                   1.0
Sample_15         89429.684795               21.551900       89429.684795    0.184017   0.737780              0.707457    -0.699126                0.251613      -0.219269                        3.0                    0.0                62.222222                        3.0         128.577474 -0.753786            62.963700   100482.791905                   1.0
Sample_16         86767.705644               21.063717       86767.705644    0.188455   0.719306              0.708516    -0.707865                0.183976      -0.183976                        2.0                    0.0                63.000000                        2.0         129.314815 -0.746317            63.057885    97491.804094                   1.0
Sample_17         94267.814805               22.052072       94267.814805    0.185739   0.723448              0.697383    -0.694054                0.289906      -0.289906                        1.0                    0.0                61.770833                        1.0         126.928645 -0.778051            62.067084   105918.893039                   1.0
Sample_18         90863.053320               21.715644       90863.053320    0.185205   0.741203              0.731328    -0.731273                0.311087      -0.311087                        1.0                    0.0                65.083333                        1.0         129.065773 -0.759738            65.088164   102093.318337                   1.0
Sample_19         93890.914148               21.891894       93890.914148    0.181228   0.733717              0.713994    -0.713994                0.324784      -0.324784                        0.0                    0.0                63.545455                        0.0         126.908817 -0.781619            63.545455   105495.409155                   1.0
Sample_20        110209.840358               25.080720      110209.840358    0.223747   0.752500              0.691388    -0.691011                0.337349      -0.337349                        1.0                    0.0                61.500000                        1.0         125.706562 -0.765525            61.533537   123831.281301                   1.0
Sample_21         90439.963496               22.613105       90439.963496    0.212291   0.769999              0.723408    -0.705056                0.376928      -0.374558                        0.0                    0.0                63.566667                        1.0         127.280682 -0.699509            64.383333   101617.936512                   1.0
Sample_22         95870.035488               22.914799       95870.035488    0.220045   0.726871              0.692884    -0.692884                0.281052      -0.281052                        0.0                    0.0                61.666667                        0.0         127.469344 -0.731496            61.666667   107719.140998                   1.0
Sample_23         84978.267017               21.871125       84978.267017    0.208728   0.769999              0.678170    -0.677715                0.338246      -0.338246                        1.0                    0.0                60.316667                        1.0         124.208540 -0.684778            60.357094    95481.198895                   1.0
Sample_24        111505.576424               25.014695      111505.576424    0.219901   0.755452              0.702810    -0.702247                0.377664      -0.377664                        1.0                    0.0                62.500000                        1.0         126.016747 -0.783529            62.550104   125287.164521                   1.0
Sample_25         97389.586755               23.779535       97389.586755    0.223905   0.769999              0.844600    -0.479936                0.414844      -0.405088                        0.0                    0.0                58.941860                        1.0         137.685405 -0.713458            75.169435   109426.501971                   1.0
Sample_26         90509.558340               22.777460       90509.558340    0.220187   0.766576              0.680264    -0.680264                0.290946      -0.290946                        0.0                    0.0                60.543478                        0.0         125.266144 -0.690044            60.543478   101696.132966                   1.0
Sample_27         84829.102916               21.398248       84829.102916    0.219970   0.715883              0.688803    -0.678479                0.147726      -0.132558                        2.0                    0.0                60.384615                        2.0         128.834562 -0.689638            61.303423    95313.598782                   1.0
Sample_28         77833.687267               20.901350       77833.687267    0.215748   0.755923              0.691948    -0.691948                0.254123      -0.254123                        0.0                    0.0                61.583333                        0.0         127.202317 -0.648533            61.583333    87453.581199                   1.0
Sample_29        102585.284673               23.743194      102585.284673    0.220391   0.733717              0.649030    -0.636364                0.338170      -0.282635                        0.0                    0.0                57.200000                        1.0         123.566660 -0.759674            57.763636   115264.364801                   1.0
Sample_30         84727.012149               21.207664       84727.012149    0.198600   0.733717              0.683989    -0.683989                0.271647      -0.271647                        0.0                    0.0                60.875000                        0.0         124.728062 -0.715823            60.875000    95198.890055                   1.0
Sample_31        102942.514959               23.723653      102942.514959    0.218152   0.737140              0.705524    -0.705524                0.313137      -0.313137                        0.0                    0.0                62.791667                        0.0         127.340363 -0.762887            62.791667   115665.747145                   1.0
Sample_32         89652.425985               22.457882       89652.425985    0.221161   0.745182              0.663444    -0.663444                0.298275      -0.298275                        0.0                    0.0                59.046512                        0.0         124.938279 -0.695590            59.046512   100733.062905                   1.0
Sample_33        118673.808217               27.245118      118673.808217    0.250570   0.808235              0.695894    -0.631461                0.292551      -0.264265                        1.0                    0.0                58.620000                        2.0         126.269022 -0.711381            61.934592   133341.357547                   1.0
Sample_34         93832.700016               23.917495       93832.700016    0.241628   0.811663              0.713773    -0.711075                0.242429      -0.242429                        3.0                    0.0                63.285714                        3.0         128.782199 -0.646317            63.525792   105430.000018                   1.0
Sample_35        102417.238086               24.495954      102417.238086    0.234075   0.769999              0.666113    -0.665197                0.306258      -0.306258                        1.0                    0.0                59.202532                        1.0         125.109860 -0.711974            59.284096   115075.548412                   1.0
Sample_36        100611.662797               25.178993      100611.662797    0.242274   0.818168              0.652904    -0.652859                0.350677      -0.350677                        1.0                    0.0                58.104478                        1.0         121.719377 -0.658730            58.108425   113046.812132                   1.0
Sample_37        120783.585502               26.706658      120783.585502    0.243158   0.766576              0.688034    -0.682584                0.284169      -0.284169                        2.0                    0.0                60.750000                        2.0         126.822963 -0.761187            61.235002   135711.893822                   1.0
Sample_38         86857.122766               22.808874       86857.122766    0.244766   0.777137              0.643704    -0.641771                0.191564      -0.191564                        2.0                    0.0                57.117647                        2.0         125.457492 -0.634008            57.289694    97592.272771                   1.0
